Name,global_id,AdmArea,District,Location,lon,lat,Material
"Искусственная дорожная неровность 2 на УДС Карелина проезда с привязкой к адресу Угловой переулок, дом 2",2707531328,Центральный административный округ,Тверской район,"Угловой переулок, дом 2",37.589226,55.785665,пластик
"Искусственная дорожная неровность по адресу Большой Полуярославский переулок, дом 10/2, строение 1",2707531500,Центральный административный округ,Таганский район,"Большой Полуярославский переулок, дом 10/2, строение 1",37.662454,55.752215,пластик
"Искуственная  дорожная неровность 1 по адресу Молодогвардейская улица, дом 63",2707531501,Западный административный округ,район Кунцево,"Молодогвардейская улица, дом 63",37.388214,55.733477,пластик
"Искусственная дорожная неровность (приподнятый пешеходный переход) на улице Шолохова с привязкой к адресу улица Шолохова, дом 30",2707531502,Западный административный округ,район Ново-Переделкино,"улица Шолохова, дом 30",37.344071,55.643264,асфальт
"Искусственная дорожная неровность (приподнятый пешеходный переход) на УДС улицы Академика Бармина с привязкой к адресу улица Барклая, дом 5А",2707531503,Западный административный округ,район Филёвский Парк,"улица Барклая, дом 5А",37.503222,55.738662,пластик
"Искусственная дорожная неровность (приподнятый пешеходный переход) на УДС улицы Академика Бармина с привязкой к адресу улица Василисы Кожиной, дом 6, корпус 2",2707531504,Западный административный округ,район Филёвский Парк,"улица Василисы Кожиной, дом 6, корпус 2",37.503216,55.738666,пластик
"Искусственная дорожная неровность (приподнятый пешеходный переход) по адресу Нежинская улица, дом 1, строение 41",2707531505,Западный административный округ,район Очаково-Матвеевское,"Приподнятый пешеходный переход по адресу Нежинская улица, дом 1, строение 41",37.476843,55.718766,асфальт
"Искусственная дорожная неровность (приподнятый пешеходный переход) по адресу Нежинская улица, дом 1, корпус 2",2707531506,Западный административный округ,район Очаково-Матвеевское,"Нежинская улица, дом 1, корпус 2",37.477991,55.72021,асфальт
"Искусственная дорожная неровность по адресу Сиреневый бульвар, дом 36",2755376665,Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 36",37.809334,55.802754,пластик
"Искусственная дорожная неровность по адресу Сиреневый бульвар, дом 50",2755376666,Восточный административный округ,район Восточное Измайлово,"Сиреневый бульвар, дом 50",37.819702,55.802878,пластик
"Искусственная дорожная неровность по адресу Сиреневый бульвар, дом 54",2755376667,Восточный административный округ,район Восточное Измайлово,"Сиреневый бульвар, дом 54",37.821658,55.803069,пластик
"Искусственная дорожная неровность по адресу Напольный проезд, дом 1",2755376668,Восточный административный округ,район Ивановское,"Напольный проезд, дом 1",37.822558,55.75832,пластик
"Искусственная дорожная неровность по адресу Магнитогорская улица, дом 23",2755376669,Восточный административный округ,район Ивановское,"Магнитогорская улица, дом 23",37.833934,55.776148,пластик
"Искусственная дорожная неровность по адресу Магнитогорская улица, дом 7",2755376670,Восточный административный округ,район Ивановское,"Магнитогорская улица, дом 7",37.824333,55.773865,пластик
"Искусственная дорожная неровность по адресу Измайловский бульвар, дом 41",2755376671,Восточный административный округ,район Северное Измайлово,"Измайловский бульвар, 41",37.797118,55.797056,пластик
"Искусственная дорожная неровность по адресу Измайловский бульвар, дом 32",2755376672,Восточный административный округ,район Северное Измайлово,"Измайловский бульвар, 32",37.796625,55.796569,пластик
"Искусственная дорожная неровность по адресу Сиреневый бульвар, дом 30",2755376673,Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 30",37.801727,55.802675,пластик
"Искусственная дорожная неровность по адресу 1-я Парковая улица, дом 12",2755376674,Восточный административный округ,район Измайлово,"1-я Парковая улица, дом 12",37.778038,55.790661,пластик
"Искусственная дорожная неровность по адресу Измайловсикй проезд, дом 7к1",2755376675,Восточный административный округ,район Измайлово,"Измайловский проезд, дом 7, корпус 1",37.76926,55.797101,пластик
Искусственная дорожная неровность (приподнятый пешеходный переход) на улице Староволынская с привязкой к дому 1М по улице Минская,2755376676,Западный административный округ,район Фили-Давыдково,"Минская улица, дом 1М",37.493749,55.72522,асфальт
"Искусственная дорожная неровность (приподнятый пешеходный переход) на улице Беловежская, дом 1, корпус 2",2755376677,Западный административный округ,Можайский район,"улица Беловежская, дом 1, корпус 2",37.400329,55.71508,асфальт
"Искусственная дорожная неровность (приподнятый пешеходный переход) на улице Барклая, дом 16, корпус 1",2755376678,Западный административный округ,район Филёвский Парк,"улица Барклая, дом 16, корпус 1",37.495719,55.746216,пластик
"Искусственная дорожная неровность (приподнятый пешеходный переход) на улице Герасима Курина, дом 14, корпус 1А",2755376679,Западный административный округ,район Фили-Давыдково,"улица Герасима Курина, дом 14, корпус 1А",37.474103,55.73121,пластик
"Искусственная дорожная неровность (приподнятый пешеходный переход) на улице Академика Павлова, дом 56, корпус 1",2755376681,Западный административный округ,район Кунцево,"улица Академика Павлова, дом 56, корпус 1",37.409175,55.749481,асфальт
Искусственная дорожная неровность в районе дома 14 по улице Авиаторов,2755376683,Западный административный округ,район Солнцево,"улица Авиаторов, дом 14",37.397093,55.645172,пластик
"Искусственная дорожная неровность (приподнятый пешеходный переход) с привязкой к адресу Волынская улица, дом 6",2755376685,Западный административный округ,район Солнцево,"улица Волынская, дом 6",37.414216,55.644656,пластик
"Искусственная дорожная неровность на Проектируемом проезде № 6176, с привязкой к адресу Ангарская улица, дом 45, корпус 6",2755376686,Северный административный округ,Дмитровский район,"Проектируемый проезд № 6176, у дома 45, корпус 6 по улице Ангарская",37.524088,55.882234,пластик
