global_id,Name
1711829,"Искусственная дорожная неровность 1 по адресу Норильская улица, дом 4"
1711831,"Искусственная дорожная неровность по адресу Лосевская улица, дом 20"
1711835,"Искусственная дорожная неровность по адресу 2-я Напрудная улица, дом 11"
1711837,"Искусственная дорожная неровность по адресу 1-я Напрудная улица, дом 11"
1711838,"Искусственная дорожная неровность по адресу Базовская улица, дом 16"
1711841,"Искусственная дорожная неровность по адресу 8-я улица Соколиной Горы, дом 5А"
1711848,"Искусственная дорожная неровность по адресу Большая Спасская улица, дом 15"
1711852,"Искусственная дорожная неровность по адресу Зоологическая улица, дом 28"
1711861,"Искусственная дорожная неровность по адресу 2-я Напрудная улица, дом 13-15"
1711868,"Искусственная дорожная неровность по адресу 2-й Троицкий переулок, дом 8/10"
1711869,"Искусственная дорожная неровность по адресу 2-я Дубровская улица, дом 3"
1711870,"Искусственная дорожная неровность по адресу 2-я Тверская-Ямская улица, дом 46"
1711882,"Искусственная дорожная неровность по адресу 5-й Монетчиковский переулок, дом 7"
1711893,"Искусственная дорожная неровность по адресу 13-я Парковая улица, дом 33"
1711896,"Искусственная дорожная неровность по адресу Новгородская улица, дом 28"
1711898,"Искусственная дорожная неровность по адресу Новгородская улица, дом 30"
1711899,"Искусственная дорожная неровность по адресу Псковская улица, дом 10, корпус 1"
1711903,"Искусственная дорожная неровность по адресу Псковская улица, дом 11"
1711914,"Искусственная дорожная неровность по адресу Флотская улица, дом 28, корпус 1"
1711936,"Искусственная дорожная неровность по адресу 15-я Парковая улица, дом 51"
1711943,"Искусственная дорожная неровность по адресу 3-я Владимирская улица, дом 27"
1711948,"Искусственная дорожная неровность по адресу Беговая аллея, дом 3А"
1711971,"Искусственная дорожная неровность по адресу Песчаная улица, дом 2А"
1711978,"Искусственная дорожная неровность по адресу Флотская улица, дом 78"
1711984,"Искусственная дорожная неровность по адресу Пенягинская улица, дом 14"
1711992,"Искусственная дорожная неровность по адресу Малый Кисловский переулок, дом 12/8"
1711995,"Искусственная дорожная неровность по адресу Трубецкая улица, дом 8, строение 2"
1711999,"Искусственная дорожная неровность по адресу Новоспасский переулок, дом 11, строение 1"
1712004,"Искусственная дорожная неровность по адресу Сретенский переулок, дом 1, строение 1"
1712005,"Искусственная дорожная неровность по адресу Стройковская улица, дом 5"
1712011,"Искусственная дорожная неровность по адресу Тушинская улица, дом 8"
1712026,"Искусственная дорожная неровность по адресу Товарищеский переулок, дом 21"
1712028,"Искусственная дорожная неровность по адресу Трубная улица, дом 36"
2043820,"Искусственная дорожная неровность по адресу город Зеленоград, корпус 1824 (Проектируемый проезд № 898)"
2043852,"Искусственная дорожная неровность по адресу Березовая аллея, корпус 424Б"
2043854,"Искусственная дорожная неровность по адресу улица Болдов ручей, корпус 1121"
2043858,"Искусственная дорожная неровность по адресуЯблоневая аллея, корпус 314"
2834214,"Искусственная дорожная неровность по адресу Черноморский бульвар, дом 8"
2834215,"Искусственная дорожная неровность по адресу Черноморский бульвар, дом 5"
2834216,"Искусственная дорожная неровность на УДС Чертановской улицы с привязкой к адресу Сумской проезд, дом 12, корпус 3"
2834217,"Искусственная дорожная неровность по адресу Чертановская улица, дом 4"
2834218,"Искусственная дорожная неровность по адресу Чертановская улица, дом 7А"
4479704,"Искусственная дорожная неровность по адресу Ленская улица, дом 6"
4479708,"Искусственная дорожная неровность по адресу Маломосковская улица, дом 7"
4479713,"Искусственная дорожная неровность по адресу улица Мусоргского, дом 11"
4479714,"Искусственная дорожная неровность по адресу Новгородская улица, дом 38"
4479715,"Искусственная дорожная неровность по адресу Новоалексеевская улица, дом 6"
4479721,"Искусственная дорожная неровность по адресу Полярная улица, дом 9"
4485036,"Искусственная дорожная неровность на УДС улицы Церковная Горка с привязкой к адресу проспект Мира, дом 128"
13391315,"Искусственная дорожная неровность 1 по адресу Стандартная улица, дом 33"
13391316,"Искусственная дорожная неровность 2 по адресу Стандартная улица, дом 33"
13391317,"Искусственная дорожная неровность 1 по адресу Старомарьинское шоссе, дом 5"
13391318,"Искусственная дорожная неровность 2 по адресу Старомарьинское шоссе, дом 5"
13391321,"Искусственная дорожная неровность по адресу Таймырская улица, дом 5"
13391330,"Искусственная дорожная неровность по адресу Федоскинская улица, дом 4"
13391332,"Искусственная дорожная неровность по адресу Хибинский проезд, дом 5"
13391335,"Искусственная дорожная неровность по адресу Челюскинская улица, дом 4"
13391336,"Искусственная дорожная неровность по адресу Чукотский проезд, дом 4"
19644980,"Искусственная дорожная неровность по адресу Елецкая улица, дом 15"
19644982,"Искусственная дорожная неровность по адресу улица Генерала Белова, дом 18"
19644994,"Искусственная дорожная неровность по адресу Ореховый проезд, дом 26, сооружение 1"
19645014,"Искусственная дорожная неровность по адресу Борисовский проезд, дом 13"
19645069,"Искусственная дорожная неровность по адресу Марьинский бульвар, дом 2, строение 2"
19645084,"Искусственная дорожная неровность по адресу Батюнинская улица, дом 7"
19645162,"Искусственная дорожная неровность по адресу Ослябинский переулок, дом 1, строение 3"
19645182,"Искусственная дорожная неровность по адресу 4-й Вешняковский проезд, дом 6"
19645222,"Искусственная дорожная неровность по адресу Садовническая улица, дом 82 - дом 73, строение 1"
19645224,"Искусственная дорожная неровность по адресу Абельмановская улица, дом 9, строение 9"
19645227,"Искусственная дорожная неровность по адресу Большой Татарский переулок, дом 4/8"
