global_id,Name,BalanceHolder,AdmArea,District,Address,lon,lat
2795042296,"Станция №983, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица Новая Башиловка, дом 3",37.570646,55.79014
2795042297,"Станция №988, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Бутырский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Большая Новодмитровская улица, дом 36, строение 12",37.584514,55.80473
2795042299,"Станция №989, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северо-Восточный административный округ,Бутырский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Большая Новодмитровская улица, дом 36, строение 12",37.58455,55.804612
2795042300,"Станция №990, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,район Кузьминки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Волгоградский проспект, дом 110, корпус 3",37.767259,55.706452
2795042301,"Станция №991, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,район Кузьминки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Волгоградский проспект, дом 110, корпус 3",37.767239,55.706407
2795042302,"Станция №992, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Милютинский переулок, дом 5, строение 1",37.631671,55.762029
2795042304,"Станция №994, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, проезд Завода Серп и Молот, дом 4",37.697594,55.754586
2795042308,"Станция №996, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Русаковская улица, дом 12, корпус 3",37.676249,55.78341
2795042310,"Станция №997, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Русаковская улица, дом 12, корпус 3",37.676109,55.783308
2795042312,"Станция №998, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Таганский район,"город Москва, улица Симоновский Вал, дом 2",37.660028,55.729701
2795042313,"Станция №999, 60 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Восточный административный округ,район Косино-Ухтомский,"город Москва, улица Руднёвка, дом 2, строение 1",37.88624,55.715026
2795042315,"Станция №1615, 150 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,Савёловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Башиловская улица, дом 2, строение 3",37.577585,55.793649
2795042316,"Станция №1616, 150 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Северный административный округ,Савёловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Башиловская улица, дом 2, строение 3",37.577762,55.793666
