ID,global_id,Name,ShortName,AdmArea,District,Address,Owner,TestDate,lon,lat
281,905396699,"Автомобильная заправочная станция «ЛАНА ТЭК» на Лианозовском проезде, вл. 12","АЗС «ЛАНА ТЭК» на Лианозовском проезде, вл. 12",Северо-Восточный административный округ,район Лианозово,"Лианозовский проезд, вл. 12",ООО «ЛАНА ТЭК»,21.11.2018,37.545778672,55.900903095
282,905396725,Автомобильная заправочная станция «АЗС Трейд» на 34-м километре Киевского шоссе,АЗС «АЗС Трейд» на 34-м километре Киевского шоссе,Новомосковский административный округ,поселение Московский,34-й километр Киевского шоссе,ООО «АЗС Трейд»,23.11.2018,37.237658094,55.579021502
283,918049710,"Автомобильная заправочная станция «Фортекс» на 35-м километре Калужского шоссе, владение 1Б","АЗС «Фортекс» на 35-м километре Калужского шоссе, владение 1Б",Новомосковский административный округ,поселение Десеновское,"35-й километр Калужского шоссе, владение 1Б",ООО «Фортекс»,25.01.2019,37.347770575,55.509459826
284,918049807,"Автомобильная заправочная станция «Атлант Петролеум 2» на Калужском шоссе, дом 21","АЗС «Атлант Петролеум 2» на Калужском шоссе, дом 21",Новомосковский административный округ,поселение Десеновское,"Калужское шоссе, дом 21",ООО «Атлант Петролеум 2»,01.02.2019,37.30877078,55.471158885
285,918049811,"Автомобильная заправочная станция «РН-Москва» на Каспийской улице, владение 2А","АЗС «РН-Москва» на Каспийской улице, владение 2А",Южный административный округ,район Москворечье-Сабурово,"Каспийская улица, владение 2А",АО «РН-Москва»,01.03.2019,37.686379316,55.639250207
286,918049819,"Автомобильная заправочная станция «АЗС Трейд» на 34-м километре Киевского шоссе, п. Марушкинское","АЗС «АЗС Трейд» на 34-м километре Киевского шоссе, п. Марушкинское",Новомосковский административный округ,поселение Марушкинское,34-й километр Киевского шоссе,ООО «АЗС Трейд»,01.03.2019,37.237699516,55.579014893
287,930770748,"Автомобильная заправочная станция «ТрансАЗС» на 93-м километре Московской Кольцевой Автодороги, владение 10","АPC «ТрансАЗС» на 93-м километре Московской Кольцевой Автодороги, владение 10",Северо-Восточный административный округ,Лосиноостровский район,"93-й километре Московской Кольцевой Автодороги, владение 10",ЗАО «ТрансАЗС»,09.04.2019,37.705016911,55.891404231
288,930770779,Автомобильная заправочная станция «ТК БУЛЛ» на 33-м километре Московской Кольцевой Автодороги,АPC «ТК БУЛЛ» на 33-м километре Московской Кольцевой Автодороги,Южный административный округ,район Чертаново Южное,33-й километр Московской Кольцевой Автодороги,ООО «ТК БУЛЛ»,16.04.2019,37.587106666,55.57843824
289,930770857,"Автомобильная заправочная станция «АЗС Энерджи» на улице генерала Белобородова, дом 40","АPC «АЗС Энерджи» на улице генерала Белобородова, дом 40",Северо-Западный административный округ,район Митино,"улица генерала Белобородова, дом 40",ООО «АЗС Энерджи»,18.04.2019,37.35335861,55.826080115
290,930770867,"Автомобильная заправочная станция «АЗС Энерджи» на Пятницком шоссе, дом 2","АЗC «АЗС Энерджи» на Пятницком шоссе, дом 2",Северо-Западный административный округ,район Митино,"Пятницкое шоссе, дом 2",ООО «АЗС Энерджи»,18.04.2019,37.389085049,55.835077195
